Date,Client,Task,Hours
10/18/2021,COG,Bryan mentioned IT Support TA/Waters Migration Support,
10/18/2021,COG,TA/Waters Migration - Joyce Yoon,
10/18/2021,COG,Watch video steps 1-3 and refresh MP4,
10/18/2021,AAR-S,Task #181618 has been closed,
10/18/2021,AAR-S,Task #181618 has been created and  queued to: EC.  Juanita Reeves <Juanita.Reeves@aarcorp.com>,
10/18/2021,AAR-S,TAVP Approval - Level2 has completed on Test 10/14.,
10/18/2021,AAR-S,TAVP.  Approval - Level1 has completed on Test 10/14.,
10/18/2021,ROT,Updated MS Flow with conditional to support NULL scenario without error.   Updated and ready to go.,
10/18/2021,ROT,Meeting -  Go over Issue Logs,
10/18/2021,AAR-S,Bi-Weekly ES/SPI Team Sync,
10/19/2021,UHH,Successfully opened network folder.   Please close help desk ticket.   Thank you.,
10/19/2021,UHH,"Help desk ticket support REQ0019261 :Folder Access ,has been opened on your behalf",
10/19/2021,UHH,Meeting - EDW Bug Crusher Scrum,
10/19/2021,DOI,Meeting - OPH/Partners/CF Standup,
10/19/2021,DOI,PowerShell coding and testing for IRS 990 data import XML,
10/19/2021,DOI,Meeting - Partners Updates,
10/19/2021,DOI,Meeting -  IRS-990 with Karyn and team.,
10/19/2021,EX3,Meeting - EX3-EEMA JAD,
10/19/2021,EX3,Updated to Technical Design Document (TDD) and planing for Wayfinding features.,
10/19/2021,EX3,MS Planner review and updates,
10/19/2021,PPAL-GFH,"Good morning Pete.   Yes, updated MS Flow with routing logic.",1
10/19/2021,PPAL-GFH,Would you please send test file to payables inbox?   Thank you.,1
10/19/2021,DNT,Workflow 2013 support with Vibhor and Sadat,
10/19/2021,DNT,PowerShell content DB support with Mike G.,
10/19/2021,COG,Water TA migration to O365 and support with full team.   Service Now queue and user migration support.,
10/19/2021,EX3,Wayfinding PPT with Dave.,
10/19/2021,ROT,Meeting - Review open tickets and updates to MS Flow for Shared Mailbox,
10/19/2021,AAR-S,TAVP 1694 Site.   Log review and support for John Janachowski <John.Janachowski@aarcorp.com>,
10/19/2021,AAR-M,Meeting - Daily myConnection Standup (https://aarcorp.zoom.us/j/83008785703),
10/19/2021,JP-FRO,Frontier Site Review  (Microsoft Teams Meeting) Intranet with Megan and Rick.,
10/19/2021,JP-FRO,Would you please share MP4 recording from today?    Unable to view.   Thank you.,
10/19/2021,JP-FRO,"Update project plan timelinet, tasks, and dependency with Robert W.",
10/19/2021,ROT,"Thank you Carla.   Please test again.   Updated Post Date form with Traveler Type drop down JS logic.   Now gives full menu, while President (standard) gives only 3 choices.",
10/19/2021,COG,Ticket support with Tony Young INC0056479,
10/19/2021,COG,"Update notes and tracking for PST support.  INC0056363, INC0056516, INC0056207, RITM0053819",
10/19/2021,UHH,[JIRA] (EB-374) Collections Report Analysis,
10/19/2021,DMI,"PowerApps - Design, layout, and coding updates to buttons.  Lookup controls.  Cadcading regulation COMAR number drop downs.",
10/19/2021,DMI,PowerApps backup ZIP.   Visibility toggle controls.  Enhanced logic and display by REG into live demo.,
10/19/2021,EX3,"Updated to version history tracking, executive summary, and narrative with Dave for TDD Wayfinding.",
10/19/2021,EX3,Merge diagrams from Charlie and Jason into TDD.   BMO system access testing and VPN.,
10/19/2021,UHH,EDW Collections report.  Attach this e-mail chain to the JIRA ticket.,
10/19/2021,UHH,Compare PowerBI output with ADS source report.,
10/19/2021,UHH,ADS collection report from Sujatha.  Knowledge transfer with Philip for PBIX support.,
10/19/2021,UHH,Scoping new UNC folder access for desktop RPA with Chuck Rowe.,
10/19/2021,JP-FRO,Intranet page migration.  Updates to navigation top bar.,
10/19/2021,COG,"Waters TA migration support with Outlook, OneDrive, and end user calls.  Quick Assist.  Phone contact lookups.   Voicemail, ticket notes, and support Q&A internal Cognizant team.",
