"Url","Name","ItemCount","Status"
"/sites/AIR-G/Shared Documents/G/1. Presend","1. Presend","10"
"/sites/AIR-G/Shared Documents/G/8. Pex","8. Pex","12"
"/sites/AIR-G/Shared Documents/G/11. FirstView (US)","11. FirstView (US)","1"
"/sites/AIR-G/Shared Documents/G/5. Korta (Iceland)","5. Korta (Iceland)","1"
"/sites/AIR-G/Shared Documents/G/7. Edge","7. Edge","2"
"/sites/AIR-G/Shared Documents/G/4. UK (store financial)","4. UK (store financial)","27"
"/sites/AIR-G/Shared Documents/G/3. North America (store financial)","3. North America (store financial)","9"
"/sites/AIR-G/Shared Documents/G/FEV","FEV","7"
"/sites/AIR-G/Shared Documents/G/9. Project Spark","9. Project Spark","28"
"/sites/AIR-G/Shared Documents/G/10. PayWith Equity Software Swap","10. PayWith Equity Software Swap","10"
"/sites/AIR-G/Shared Documents/G/2. PerfectCard","2. PerfectCard","13"
"/sites/AIR-G/Shared Documents/G/6. Flex-e-Card (Project Magpie)","6. Flex-e-Card (Project Magpie)","22"
"/sites/AM-U/Shared Documents/U/Account Management","Account Management","45"
"/sites/AM-U/Shared Documents/U/Customer Success Team","Customer Success Team","23"
"/sites/AM-U/Shared Documents/U/B2B Programs","B2B Programs","60"
"/sites/BN-E/Shared Documents/E/Issuing Projects","Issuing Projects","3"
"/sites/BN-E/Shared Documents/E/Visa","Visa","1"
"/sites/BN-E/Shared Documents/E/BINs and Issuers","BINs and Issuers","15"
"/sites/BN-E/Shared Documents/E/Mastercard","Mastercard","16"
"/sites/BN-G/Shared Documents/G/FEV","FEV","0"
"/sites/BN-G/Shared Documents/G/1. Presend","1. Presend","10"
"/sites/BN-G/Shared Documents/G/7. Edge","7. Edge","2"
"/sites/BN-G/Shared Documents/G/5. Korta (Iceland)","5. Korta (Iceland)","1"
"/sites/BN-G/Shared Documents/G/9. Project Spark","9. Project Spark","17"
"/sites/BN-G/Shared Documents/G/11. FirstView (US)","11. FirstView (US)","1"
"/sites/BN-G/Shared Documents/G/2. PerfectCard","2. PerfectCard","13"
"/sites/BN-G/Shared Documents/G/8. Pex","8. Pex","12"
"/sites/BN-G/Shared Documents/G/4. UK (store financial)","4. UK (store financial)","27"
"/sites/BN-G/Shared Documents/G/10. PayWith Equity Software Swap","10. PayWith Equity Software Swap","10"
"/sites/BN-G/Shared Documents/G/6. Flex-e-Card (Project Magpie)","6. Flex-e-Card (Project Magpie)","22"
"/sites/BN-G/Shared Documents/G/3. North America (store financial)","3. North America (store financial)","9"
"/sites/BN-U/Shared Documents/U/BIN","BIN","16"
"/sites/BN-U/Shared Documents/U/Translations","Translations","1"
"/sites/BN-U/Shared Documents/U/Banks","Banks","7"
"/sites/BN-U/Shared Documents/U/Networks","Networks","14"
"/sites/BN-U/Shared Documents/U/Team Documentation","Team Documentation","16"
"/sites/BN-U/Shared Documents/U/New folder","New folder","0"
"/sites/msteams-A/Shared Documents/A/iGO Direct","iGO Direct","2"
"/sites/msteams-A/Shared Documents/A/Casual Dining","Casual Dining","2"
"/sites/msteams-A/Shared Documents/A/The Star Entertainment Group","The Star Entertainment Group","2"
"/sites/msteams-A/Shared Documents/A/MoneyMe","MoneyMe","2"
"/sites/msteams-A/Shared Documents/A/DiviPay","DiviPay","2"
"/sites/msteams-A/Shared Documents/A/Why Leave Town","Why Leave Town","2"
"/sites/msteams-A/Shared Documents/A/Frank Green","Frank Green","2"
"/sites/msteams-A/Shared Documents/A/Nimble","Nimble","2"
"/sites/msteams-A/Shared Documents/A/Dioceses of Rockhampton","Dioceses of Rockhampton","2"
"/sites/msteams-A/Shared Documents/A/Betstar","Betstar","2"
"/sites/msteams-A/Shared Documents/A/BTC.com.au","BTC.com.au","2"
"/sites/msteams-A/Shared Documents/A/PlayUp","PlayUp","2"
"/sites/msteams-A/Shared Documents/A/The Restaurant Choice","The Restaurant Choice","2"
"/sites/msteams-A/Shared Documents/A/TopSport","TopSport","2"
"/sites/msteams-A/Shared Documents/A/Neds","Neds","2"
"/sites/msteams-A/Shared Documents/A/Eziway","Eziway","2"
"/sites/msteams-A/Shared Documents/A/Acquire One (A1)","Acquire One (A1)","2"
"/sites/msteams-A/Shared Documents/A/Cache","Cache","2"
"/sites/msteams-A/Shared Documents/A/Edge","Edge","2"
"/sites/msteams-A/Shared Documents/A/Make A Wish","Make A Wish","2"
"/sites/msteams-A/Shared Documents/A/The Salvation Army","The Salvation Army","2"
"/sites/msteams-A/Shared Documents/A/Ingogo","Ingogo","2"
"/sites/msteams-A/Shared Documents/A/QPay","QPay","2"
"/sites/msteams-A/Shared Documents/A/McMillan Shakespeare (Maxxia & Remserv)","McMillan Shakespeare (Maxxia & Remserv)","2"
"/sites/msteams-A/Shared Documents/A/NSW Health","NSW Health","2"
"/sites/msteams-A/Shared Documents/A/Extend","Extend","2"
"/sites/msteams-A/Shared Documents/A/QLD Govt - Dept of Communities","QLD Govt - Dept of Communities","2"
"/sites/msteams-A/Shared Documents/A/Cafe Sydney","Cafe Sydney","2"
"/sites/msteams-A/Shared Documents/A/Sendgold","Sendgold","7"
"/sites/msteams-A/Shared Documents/A/Lockton","Lockton","2"
"/sites/msteams-A/Shared Documents/A/The Movie Card","The Movie Card","2"
"/sites/msteams-A/Shared Documents/A/myCryptoWallet","myCryptoWallet","2"
"/sites/msteams-A/Shared Documents/A/Sportsbet","Sportsbet","2"
"/sites/msteams-A/Shared Documents/A/The Card Network","The Card Network","2"
"/sites/msteams-A/Shared Documents/A/Paywise","Paywise","2"
"/sites/msteams-A/Shared Documents/A/bet365","bet365","2"
"/sites/msteams-A/Shared Documents/A/NT Govt (NAB)","NT Govt (NAB)","2"
"/sites/msteams-A/Shared Documents/A/Cabcharge Spotto Cash Card","Cabcharge Spotto Cash Card","2"
"/sites/msteams-A/Shared Documents/A/Client 1","Client 1","2"
"/sites/msteams-A/Shared Documents/A/Sarina Russo Corporate Program","Sarina Russo Corporate Program","2"
"/sites/msteams-A/Shared Documents/A/Zinc","Zinc","2"
"/sites/msteams-A/Shared Documents/A/Epay (VPAY & MyGift2U)","Epay (VPAY & MyGift2U)","2"
"/sites/msteams-A/Shared Documents/A/Incremental Marketing","Incremental Marketing","2"
"/sites/msteams-A/Shared Documents/A/Coinjar","Coinjar","2"
"/sites/msteams-A/Shared Documents/A/Grassroots (Connectnow)","Grassroots (Connectnow)","2"
"/sites/msteams-A/Shared Documents/A/The Ville","The Ville","2"
"/sites/msteams-A/Shared Documents/A/BetEasy","BetEasy","2"
"/sites/msteams-A/Shared Documents/A/Cabcharge","Cabcharge","2"
"/sites/msteams-A/Shared Documents/A/Macquarie (MRB)","Macquarie (MRB)","2"
