"Url","Name","ItemCount","Status"
"/sites/AIR-G/Shared Documents/G/1. Presend","1. Presend","10","NOT FOUND"
"/sites/AIR-G/Shared Documents/G/8. Pex","8. Pex","12","NOT FOUND"
"/sites/AIR-G/Shared Documents/G/11. FirstView (US)","11. FirstView (US)","1","NOT FOUND"
"/sites/AIR-G/Shared Documents/G/5. Korta (Iceland)","5. Korta (Iceland)","1","NOT FOUND"
"/sites/AIR-G/Shared Documents/G/7. Edge","7. Edge","2","NOT FOUND"
"/sites/AIR-G/Shared Documents/G/4. UK (store financial)","4. UK (store financial)","27","NOT FOUND"
"/sites/AIR-G/Shared Documents/G/3. North America (store financial)","3. North America (store financial)","9","NOT FOUND"
"/sites/AIR-G/Shared Documents/G/FEV","FEV","7","NOT FOUND"
"/sites/AIR-G/Shared Documents/G/9. Project Spark","9. Project Spark","28","NOT FOUND"
"/sites/AIR-G/Shared Documents/G/10. PayWith Equity Software Swap","10. PayWith Equity Software Swap","10","NOT FOUND"
"/sites/AIR-G/Shared Documents/G/2. PerfectCard","2. PerfectCard","13","NOT FOUND"
"/sites/AIR-G/Shared Documents/G/6. Flex-e-Card (Project Magpie)","6. Flex-e-Card (Project Magpie)","22","NOT FOUND"
"/sites/AM-U/Shared Documents/U/Account Management","Account Management","45","NOT FOUND"
"/sites/AM-U/Shared Documents/U/Customer Success Team","Customer Success Team","23","NOT FOUND"
"/sites/AM-U/Shared Documents/U/B2B Programs","B2B Programs","60","NOT FOUND"
"/sites/BN-E/Shared Documents/E/Issuing Projects","Issuing Projects","3","NOT FOUND"
"/sites/BN-E/Shared Documents/E/Visa","Visa","1","NOT FOUND"
"/sites/BN-E/Shared Documents/E/BINs and Issuers","BINs and Issuers","15","NOT FOUND"
"/sites/BN-E/Shared Documents/E/Mastercard","Mastercard","16","NOT FOUND"
"/sites/BN-G/Shared Documents/G/FEV","FEV","0","NOT FOUND"
"/sites/BN-G/Shared Documents/G/1. Presend","1. Presend","10","NOT FOUND"
"/sites/BN-G/Shared Documents/G/7. Edge","7. Edge","2","NOT FOUND"
"/sites/BN-G/Shared Documents/G/5. Korta (Iceland)","5. Korta (Iceland)","1","NOT FOUND"
"/sites/BN-G/Shared Documents/G/9. Project Spark","9. Project Spark","17","NOT FOUND"
"/sites/BN-G/Shared Documents/G/11. FirstView (US)","11. FirstView (US)","1","NOT FOUND"
"/sites/BN-G/Shared Documents/G/2. PerfectCard","2. PerfectCard","13","NOT FOUND"
"/sites/BN-G/Shared Documents/G/8. Pex","8. Pex","12","NOT FOUND"
"/sites/BN-G/Shared Documents/G/4. UK (store financial)","4. UK (store financial)","27","NOT FOUND"
"/sites/BN-G/Shared Documents/G/10. PayWith Equity Software Swap","10. PayWith Equity Software Swap","10","NOT FOUND"
"/sites/BN-G/Shared Documents/G/6. Flex-e-Card (Project Magpie)","6. Flex-e-Card (Project Magpie)","22","NOT FOUND"
"/sites/BN-G/Shared Documents/G/3. North America (store financial)","3. North America (store financial)","9","NOT FOUND"
"/sites/BN-U/Shared Documents/U/BIN","BIN","16","NOT FOUND"
"/sites/BN-U/Shared Documents/U/Translations","Translations","1","NOT FOUND"
"/sites/BN-U/Shared Documents/U/Banks","Banks","7","NOT FOUND"
"/sites/BN-U/Shared Documents/U/Networks","Networks","14","NOT FOUND"
"/sites/BN-U/Shared Documents/U/Team Documentation","Team Documentation","16","NOT FOUND"
"/sites/BN-U/Shared Documents/U/New folder","New folder","0","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/iGO Direct","iGO Direct","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Casual Dining","Casual Dining","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/The Star Entertainment Group","The Star Entertainment Group","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/MoneyMe","MoneyMe","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/DiviPay","DiviPay","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Why Leave Town","Why Leave Town","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Frank Green","Frank Green","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Nimble","Nimble","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Dioceses of Rockhampton","Dioceses of Rockhampton","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Betstar","Betstar","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/BTC.com.au","BTC.com.au","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/PlayUp","PlayUp","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/The Restaurant Choice","The Restaurant Choice","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/TopSport","TopSport","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Neds","Neds","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Eziway","Eziway","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Acquire One (A1)","Acquire One (A1)","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Cache","Cache","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Edge","Edge","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Make A Wish","Make A Wish","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/The Salvation Army","The Salvation Army","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Ingogo","Ingogo","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/QPay","QPay","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/McMillan Shakespeare (Maxxia & Remserv)","McMillan Shakespeare (Maxxia & Remserv)","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/NSW Health","NSW Health","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Extend","Extend","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/QLD Govt - Dept of Communities","QLD Govt - Dept of Communities","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Cafe Sydney","Cafe Sydney","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Sendgold","Sendgold","7","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Lockton","Lockton","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/The Movie Card","The Movie Card","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/myCryptoWallet","myCryptoWallet","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Sportsbet","Sportsbet","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/The Card Network","The Card Network","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Paywise","Paywise","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/bet365","bet365","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/NT Govt (NAB)","NT Govt (NAB)","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Cabcharge Spotto Cash Card","Cabcharge Spotto Cash Card","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Client 1","Client 1","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Sarina Russo Corporate Program","Sarina Russo Corporate Program","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Zinc","Zinc","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Epay (VPAY & MyGift2U)","Epay (VPAY & MyGift2U)","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Incremental Marketing","Incremental Marketing","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Coinjar","Coinjar","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Grassroots (Connectnow)","Grassroots (Connectnow)","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/The Ville","The Ville","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/BetEasy","BetEasy","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Cabcharge","Cabcharge","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Macquarie (MRB)","Macquarie (MRB)","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Accesspay","Accesspay","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/WildCard","WildCard","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Ladbrokes","Ladbrokes","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/ACT Government","ACT Government","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Vault Payment Solutions","Vault Payment Solutions","2","NOT FOUND"
"/sites/msteams-A/Shared Documents/A/Zip Money","Zip Money","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/The Big Heart of Merthyr Tydfil","The Big Heart of Merthyr Tydfil","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Salto Eiendom (NO)","Salto Eiendom (NO)","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Whyser","Whyser","9","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Carmila Cit? Europe (France)","Carmila Cit? Europe (France)","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Presend","Presend","5","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Trelleborg","Trelleborg","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/PTA","PTA","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Glasgow Fort","Glasgow Fort","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Helloyalty","Helloyalty","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/St Albans","St Albans","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Elite Hotels","Elite Hotels","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Eden Centre","Eden Centre","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Meadowhall","Meadowhall","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Docks Bruxel","Docks Bruxel","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Westland","Westland","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Enk?ping Centrumsamverkan","Enk?ping Centrumsamverkan","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Visit Lule?","Visit Lule?","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Frank Green","Frank Green","8","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Groupon","Groupon","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/01 EML NOR Clients","01 EML NOR Clients","98","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Sheffield","Sheffield","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Sales Promotions","Sales Promotions","1","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Supersport","Supersport","7","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/City 2","City 2","7","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/St Enoch","St Enoch","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Perx","Perx","1","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/FinTech Solutions","FinTech Solutions","15","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/R8","R8","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Incomm","Incomm","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Gallerian AMF","Gallerian AMF","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Pandora","Pandora","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Norrt?lje Handelsstad ek.f?r","Norrt?lje Handelsstad ek.f?r","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Mastercard","Mastercard","15","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Liverpool One","Liverpool One","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Visit Arran","Visit Arran","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/T?cksfors Shoppingcenter FF","T?cksfors Shoppingcenter FF","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Oskarshamn City","Oskarshamn City","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Bon Accord","Bon Accord","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Bitcard","Bitcard","7","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Port 73 (Atrium Ljungberg Port 73)","Port 73 (Atrium Ljungberg Port 73)","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/CleverGift","CleverGift","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/TwentyOne","TwentyOne","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Saluhallen Slakteriet  i V?stmanland AB","Saluhallen Slakteriet  i V?stmanland AB","3","NOT FOUND"
