Name,DisplayName
AUSBillCredit,AUS-BillCredit
AUSCardSpotUser,AUS-CardSpotUser
AUSCaseTransactions,AUS-CaseTransactions
AUSCashRefund,AUS-CashRefund
AUSCashSale,AUS-CashSale
AUSContact,AUS-Contact
AUSCreditMemo,AUS-CreditMemo
AUSCustomer,AUS-Customer
AUSCustomerPayment,AUS-CustomerPayment
AUSCustomerRefund,AUS-CustomerRefund
AUSEmployee,AUS-Employee
AUSExpenseReport,AUS-ExpenseReport
AUSInvoice,AUS-Invoice
AUSJournalEntry,AUS-JournalEntry
AUSMerchant,AUS-Merchant
AUSProgram,AUS-Program
AUSPurchaseOrder,AUS-PurchaseOrder
AUSPurchaseOrders,AUS-PurchaseOrders
AUSRequestForInvoice,AUS-RequestForInvoice
AUSSupportCase,AUS-SupportCase
AUSVendor,AUS-Vendor
EURBillCredit,EUR-BillCredit
EURCardSpotUser,EUR-CardSpotUser
EURCaseTransactions,EUR-CaseTransactions
EURCashRefund,EUR-CashRefund
EURCashSale,EUR-CashSale
EURContact,EUR-Contact
EURCreditMemo,EUR-CreditMemo
EURCustomer,EUR-Customer
EURCustomerPayment,EUR-CustomerPayment
EURCustomerRefund,EUR-CustomerRefund
EUREmployee,EUR-Employee
EURExpenseReport,EUR-ExpenseReport
EURInvoice,EUR-Invoice
EURJournalEntry,EUR-JournalEntry
EURMerchant,EUR-Merchant
EURProgram,EUR-Program
EURPurchaseOrder,EUR-PurchaseOrder
EURPurchaseOrders,EUR-PurchaseOrders
EURRequestForInvoice,EUR-RequestForInvoice
EURSupportCase,EUR-SupportCase
EURVendor,EUR-Vendor
FECBillCredit,FEC-BillCredit
FECCardSpotUser,FEC-CardSpotUser
FECCaseTransactions,FEC-CaseTransactions
FECCashRefund,FEC-CashRefund
FECCashSale,FEC-CashSale
FECContact,FEC-Contact
FECCreditMemo,FEC-CreditMemo
FECCustomer,FEC-Customer
FECCustomerPayment,FEC-CustomerPayment
FECCustomerRefund,FEC-CustomerRefund
FECEmployee,FEC-Employee
FECExpenseReport,FEC-ExpenseReport
FECInvoice,FEC-Invoice
FECJournalEntry,FEC-JournalEntry
FECMerchant,FEC-Merchant
FECProgram,FEC-Program
FECPurchaseOrder,FEC-PurchaseOrder
FECPurchaseOrders,FEC-PurchaseOrders
FECRequestForInvoice,FEC-RequestForInvoice
FECSupportCase,FEC-SupportCase
FECVendor,FEC-Vendor
USABillCredit,USA-BillCredit
USACardSpotUser,USA-CardSpotUser
USACaseTransactions,USA-CaseTransactions
USACashRefund,USA-CashRefund
USACashSale,USA-CashSale
USAContact,USA-Contact
USACreditMemo,USA-CreditMemo
USACustomer,USA-Customer
USACustomerPayment,USA-CustomerPayment
USACustomerRefund,USA-CustomerRefund
USAEmployee,USA-Employee
USAExpenseReport,USA-ExpenseReport
USAInvoice,USA-Invoice
USAJournalEntry,USA-JournalEntry
USAMerchant,USA-Merchant
USAProgram,USA-Program
USAPurchaseOrde,USA-PurchaseOrde
USAPurchaseOrders,USA-PurchaseOrders
USARequestForInvoice,USA-RequestForInvoice
USASupportCase,USA-SupportCase
USAVendor,USA-Vendor
