Source,Destination,Status,Total bytes,Total GB,Migrated bytes,Migrated GB,GB not migrated,Total scanned item,Total to be migrated,Migrated items,Items not migrated,Warning count,Start time,End time,Duration,GB/hour,Round number,Workflow ID,Task ID,Log Path
"D:\EMH_Data\OneDrive Folder Structure\_Account Management (Commercial and Operational)\Australia","https://emlpayments.sharepoint.com/sites/AM-A","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:04 AM","31/05/2020 9:43:31 AM","0:00:26","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","48093980-2508-483b-b5cb-a9e9f2b64ca3","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_48093980"
"D:\EMH_Data\OneDrive Folder Structure\_Account Management (Commercial and Operational)\EMEA","https://emlpayments.sharepoint.com/sites/AM-E","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:04 AM","31/05/2020 9:43:38 AM","0:00:33","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","f4a9c86e-38a4-45f5-a541-2efffbbf0001","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_f4a9c86e"
"D:\EMH_Data\OneDrive Folder Structure\_Account Management (Commercial and Operational)\Global","https://emlpayments.sharepoint.com/sites/AM-G","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:04 AM","31/05/2020 9:43:31 AM","0:00:26","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","01d34bf6-14fa-4f62-ae86-98518f859341","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_01d34bf6"
"D:\EMH_Data\OneDrive Folder Structure\_Account Management (Commercial and Operational)\Americas","https://emlpayments.sharepoint.com/sites/AM-U","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:04 AM","31/05/2020 9:43:32 AM","0:00:27","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","8e637653-6f42-4861-ac3c-6f0cfc474916","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_8e637653"
"D:\EMH_Data\OneDrive Folder Structure\_Acquisitions and Investor Relations\Australia","https://emlpayments.sharepoint.com/sites/AIR-A","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:04 AM","31/05/2020 9:43:31 AM","0:00:26","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","faf84ca3-af53-443d-81d9-6c54d72ece3a","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_faf84ca3"
"D:\EMH_Data\OneDrive Folder Structure\_Acquisitions and Investor Relations\EMEA","https://emlpayments.sharepoint.com/sites/AIR-E","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:04 AM","31/05/2020 9:43:56 AM","0:00:51","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","96218e0c-c235-482a-8960-7c32e2713b19","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_96218e0c"
"D:\EMH_Data\OneDrive Folder Structure\_Acquisitions and Investor Relations\Global","https://emlpayments.sharepoint.com/sites/AIR-G","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:04 AM","31/05/2020 9:43:58 AM","0:00:53","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","3e0f0ef3-603f-4fa0-b67d-42ff9c0a058d","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_3e0f0ef3"
"D:\EMH_Data\OneDrive Folder Structure\_Acquisitions and Investor Relations\Americas","https://emlpayments.sharepoint.com/sites/AIR-U","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:04 AM","31/05/2020 9:43:56 AM","0:00:51","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","647fbd50-46c0-40fc-a52b-0b905cd84ff6","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_647fbd50"
"D:\EMH_Data\OneDrive Folder Structure\_Banks and Networks\Australia","https://emlpayments.sharepoint.com/sites/BN-A","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:04 AM","31/05/2020 9:43:58 AM","0:00:53","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","dbb47eba-f988-43ec-9d3a-569ca6648919","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_dbb47eba"
"D:\EMH_Data\OneDrive Folder Structure\_Banks and Networks\EMEA","https://emlpayments.sharepoint.com/sites/BN-E","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:04 AM","31/05/2020 9:44:34 AM","0:01:29","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","83a3058c-d2b8-44d8-a242-3c32592e9c9a","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_83a3058c"
"D:\EMH_Data\OneDrive Folder Structure\_Banks and Networks\Global","https://emlpayments.sharepoint.com/sites/BN-G","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:04 AM","31/05/2020 9:44:21 AM","0:01:16","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","2b4fbca9-45ce-4025-a4d8-d26c65be9935","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_2b4fbca9"
"D:\EMH_Data\OneDrive Folder Structure\_Banks and Networks\Americas","https://emlpayments.sharepoint.com/sites/BN-U","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:04 AM","31/05/2020 9:44:21 AM","0:01:16","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","8274fcdb-bc3a-45c5-b331-af043357ca2e","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_8274fcdb"
"D:\EMH_Data\OneDrive Folder Structure\_Card Production\Australia","https://emlpayments.sharepoint.com/sites/CP-A","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:04 AM","31/05/2020 9:44:22 AM","0:01:17","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","99d5018a-21c7-41a8-b917-63f720e5129d","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_99d5018a"
"D:\EMH_Data\OneDrive Folder Structure\_Card Production\EMEA","https://emlpayments.sharepoint.com/sites/CP-E","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:04 AM","31/05/2020 9:44:43 AM","0:01:38","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","63ec64dc-31b4-4080-9673-856ff9835c36","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_63ec64dc"
"D:\EMH_Data\OneDrive Folder Structure\_Card Production\Global","https://emlpayments.sharepoint.com/sites/CP-G","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:05 AM","31/05/2020 9:44:47 AM","0:01:42","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","a7ce4c25-a975-4759-84a8-cf9f730a0aa2","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_a7ce4c25"
"D:\EMH_Data\OneDrive Folder Structure\_Card Production\Americas","https://emlpayments.sharepoint.com/sites/CP-U","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:05 AM","31/05/2020 9:44:47 AM","0:01:42","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","2cf3ad30-70e1-4a63-a9a9-350b61b46299","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_2cf3ad30"
"D:\EMH_Data\OneDrive Folder Structure\_Clients\Australia","https://emlpayments.sharepoint.com/sites/msteams-A","Completed","0","0","0","0","0","1","1","1","0","0","31/05/2020 9:43:05 AM","31/05/2020 9:44:55 AM","0:01:50","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","946db182-2c67-4e70-b0a6-b00cf5d846df","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_946db182"
"D:\EMH_Data\OneDrive Folder Structure\_Clients\EMEA","https://emlpayments.sharepoint.com/sites/msteams-E","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:05 AM","31/05/2020 9:45:07 AM","0:02:02","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","99a89386-4917-4459-b6a5-5d2aba0b9d8e","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_99a89386"
"D:\EMH_Data\OneDrive Folder Structure\_Clients\Global","https://emlpayments.sharepoint.com/sites/msteams-G","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:05 AM","31/05/2020 9:45:09 AM","0:02:04","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","4de71dcd-35b5-4e67-b327-a35ce06394a8","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_4de71dcd"
"D:\EMH_Data\OneDrive Folder Structure\_Clients\Americas","https://emlpayments.sharepoint.com/sites/msteams-U","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:05 AM","31/05/2020 9:45:21 AM","0:02:16","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","caaf802e-261e-41e5-a817-e24e54481f7e","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_caaf802e"
"D:\EMH_Data\OneDrive Folder Structure\_Company Secretarial\Australia","https://emlpayments.sharepoint.com/sites/CS-A","Completed","9080010444","8.46","9080010444","8.46","0","19057","18781","18781","0","0","31/05/2020 9:43:05 AM","31/05/2020 10:06:13 AM","0:23:08","21.94","1","e1372f63-1915-4856-810f-fe1ef5577f65","9ca2c927-aaaa-4c01-9abe-286d602a148c","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_9ca2c927"
"D:\EMH_Data\OneDrive Folder Structure\_Company Secretarial\EMEA","https://emlpayments.sharepoint.com/sites/CS-E","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:05 AM","31/05/2020 9:45:22 AM","0:02:17","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","f621cd7c-5e28-406a-9954-86f267aad813","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_f621cd7c"
"D:\EMH_Data\OneDrive Folder Structure\_Company Secretarial\Global","https://emlpayments.sharepoint.com/sites/CS-G","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:43:05 AM","31/05/2020 9:45:33 AM","0:02:28","0","1","e1372f63-1915-4856-810f-fe1ef5577f65","7d59caba-56d4-4858-8635-756474dd0cbd","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_e1372f63\Report\TaskReport_7d59caba"
