Source,Destination,Status,Total bytes,Total GB,Migrated bytes,Migrated GB,GB not migrated,Total scanned item,Total to be migrated,Migrated items,Items not migrated,Warning count,Start time,End time,Duration,GB/hour,Round number,Workflow ID,Task ID,Log Path
"E:\BOX\EML Structure\_Executive Team\Australia","https://emlpayments.sharepoint.com/sites/ET-A","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:10:53 PM","5/30/2020 10:11:48 PM","0:00:54","0","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","4388dc0e-1f5a-4c69-beeb-6c82babddb29","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_4388dc0e"
"E:\BOX\EML Structure\_Executive Team\EMEA","https://emlpayments.sharepoint.com/sites/ET-E","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:11:25 PM","5/30/2020 10:11:47 PM","0:00:21","0","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","797ebbe6-2324-4421-8ee8-4b1898b97690","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_797ebbe6"
"E:\BOX\EML Structure\_Executive Team\Global","https://emlpayments.sharepoint.com/sites/ET-G","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:11:25 PM","5/30/2020 10:11:47 PM","0:00:21","0","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","fb08016b-2f47-4acb-beca-ecc732e66800","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_fb08016b"
"E:\BOX\EML Structure\_Executive Team\Americas","https://emlpayments.sharepoint.com/sites/ET-U","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:11:25 PM","5/30/2020 10:11:48 PM","0:00:22","0","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","18a79d22-3709-458e-9eca-77dc6c7d9bd9","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_18a79d22"
"E:\BOX\EML Structure\_Finance\Australia","https://emlpayments.sharepoint.com/sites/msteams721-A","Completed","46114150774","42.95","46058311977","42.9","0.05","115461","115456","115449","7","0","5/30/2020 10:11:25 PM","5/31/2020 2:06:16 AM","3:54:50","10.96","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","a7da9c54-4433-4a01-b944-675a564133c6","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_a7da9c54"
"E:\BOX\EML Structure\_Finance\EMEA","https://emlpayments.sharepoint.com/sites/msteams721-E","Completed","20018325984","18.64","19753612261","18.4","0.24","53281","53281","53071","210","0","5/30/2020 10:11:25 PM","5/31/2020 1:23:15 AM","3:11:49","5.76","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","f5955568-6ad8-4248-803d-bf3c5de9e6e4","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_f5955568"
"E:\BOX\EML Structure\_Finance\Global","https://emlpayments.sharepoint.com/sites/msteams721-G","Completed","10206591697","9.51","10206033069","9.51","0","6554","6554","6553","1","0","5/30/2020 10:11:25 PM","5/30/2020 10:40:32 PM","0:29:06","19.6","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","d8ff7c46-e8a8-45ef-bfb0-7b8031068b86","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_d8ff7c46"
"E:\BOX\EML Structure\_Finance\Americas","https://emlpayments.sharepoint.com/sites/msteams721-U","Completed","100272492050","93.39","99814913574","92.96","0.43","108702","108702","108601","101","0","5/30/2020 10:11:25 PM","5/31/2020 1:38:23 AM","3:26:58","26.95","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","5c6f39f5-cc58-493c-859e-70d0fd71b899","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_5c6f39f5"
"E:\BOX\EML Structure\_General Counsel\Australia","https://emlpayments.sharepoint.com/sites/GC-A","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:11:25 PM","5/30/2020 10:12:17 PM","0:00:51","0","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","c9f25d18-9a86-4c82-8ed2-56b03b337e1d","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_c9f25d18"
"E:\BOX\EML Structure\_General Counsel\EMEA","https://emlpayments.sharepoint.com/sites/GC-E","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:11:25 PM","5/30/2020 10:12:31 PM","0:01:06","0","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","0a480d71-32a5-49f2-9110-7dee64087318","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_0a480d71"
"E:\BOX\EML Structure\_General Counsel\Global","https://emlpayments.sharepoint.com/sites/GC-G","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:11:25 PM","5/30/2020 10:12:46 PM","0:01:20","0","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","6e84ced8-29ca-42d0-b9af-0d7e57765c84","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_6e84ced8"
"E:\BOX\EML Structure\_General Counsel\Americas","https://emlpayments.sharepoint.com/sites/GC-U","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:11:25 PM","5/30/2020 10:13:08 PM","0:01:43","0","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","bb7a9e84-a9dd-437a-a70a-29ebd1d38133","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_bb7a9e84"
"E:\BOX\EML Structure\_Human Resouces\Australia","https://emlpayments.sharepoint.com/sites/HR-A","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:11:25 PM","5/30/2020 10:13:34 PM","0:02:08","0","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","e9039edd-69f2-4e63-a7fa-c6f57ae35ee3","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_e9039edd"
"E:\BOX\EML Structure\_Human Resouces\EMEA","https://emlpayments.sharepoint.com/sites/HR-E","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:11:25 PM","5/30/2020 10:13:47 PM","0:02:21","0","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","86361c55-1a80-496c-af84-80a48f99b12f","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_86361c55"
"E:\BOX\EML Structure\_Human Resouces\Global","https://emlpayments.sharepoint.com/sites/HR-G","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:11:25 PM","5/30/2020 10:14:03 PM","0:02:37","0","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","5b0317f6-1716-4702-8664-7739b79e1897","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_5b0317f6"
"E:\BOX\EML Structure\_Human Resouces\Americas","https://emlpayments.sharepoint.com/sites/HR-U","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:11:25 PM","5/30/2020 10:14:18 PM","0:02:52","0","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","1b7619f1-b7e8-482f-a8cf-ecf15bfffe13","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_1b7619f1"
"E:\BOX\EML Structure\_Legal\Australia","https://emlpayments.sharepoint.com/sites/msteams349-A","Completed","6043673142","5.63","6043673142","5.63","0","9842","9842","9842","0","0","5/30/2020 10:11:25 PM","5/30/2020 11:08:03 PM","0:56:37","5.96","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","39dc81a7-fa8a-4315-abe3-f47ef421bcae","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_39dc81a7"
"E:\BOX\EML Structure\_Legal\EMEA","https://emlpayments.sharepoint.com/sites/msteams349-E","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:11:25 PM","5/30/2020 10:40:50 PM","0:29:24","0","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","aec0027d-d17b-4c37-b3e3-153aa0fef7f9","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_aec0027d"
"E:\BOX\EML Structure\_Legal\Global","https://emlpayments.sharepoint.com/sites/msteams349-G","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:11:25 PM","5/30/2020 10:41:12 PM","0:29:46","0","1","224b8884-7858-475d-bd6a-d4c5ad4035b0","ea08b386-6289-4fb3-be70-ca467a07ab0a","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_224b8884\Report\TaskReport_ea08b386"
