Source,Destination,Status,Total bytes,Total GB,Migrated bytes,Migrated GB,GB not migrated,Total scanned item,Total to be migrated,Migrated items,Items not migrated,Warning count,Start time,End time,Duration,GB/hour,Round number,Workflow ID,Task ID,Log Path
"E:\FTP\_Account Management (Commercial and Operational)\Australia","https://emlpayments.sharepoint.com/sites/AM-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:01 AM","5/31/2020 3:16:09 AM","0:01:07","0","1","0d2746a1-f76f-40f6-a66b-79b6ecb1a914","a5b33ec2-8201-417f-8882-c78290e758fd","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0d2746a1\Report\TaskReport_a5b33ec2"
"E:\FTP\_Account Management (Commercial and Operational)\EMEA","https://emlpayments.sharepoint.com/sites/AM-E","Completed","137227669","0.13","137227669","0.13","0","533","533","533","0","0","5/31/2020 3:15:41 AM","5/31/2020 3:21:45 AM","0:06:03","1.29","1","0d2746a1-f76f-40f6-a66b-79b6ecb1a914","1286d9b2-a42d-4a98-b417-e2289b25441e","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0d2746a1\Report\TaskReport_1286d9b2"
"E:\FTP\_Account Management (Commercial and Operational)\Global","https://emlpayments.sharepoint.com/sites/AM-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:41 AM","5/31/2020 3:16:08 AM","0:00:27","0","1","0d2746a1-f76f-40f6-a66b-79b6ecb1a914","a6f3c83f-585e-4b70-b60a-38c3b8983f4f","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0d2746a1\Report\TaskReport_a6f3c83f"
"E:\FTP\_Account Management (Commercial and Operational)\Americas","https://emlpayments.sharepoint.com/sites/AM-U","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:41 AM","5/31/2020 3:16:09 AM","0:00:27","0","1","0d2746a1-f76f-40f6-a66b-79b6ecb1a914","c6741287-a38b-4716-8269-3682ce1dea75","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0d2746a1\Report\TaskReport_c6741287"
"E:\FTP\_Acquisitions and Investor Relations\Australia","https://emlpayments.sharepoint.com/sites/AIR-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:41 AM","5/31/2020 3:16:08 AM","0:00:27","0","1","0d2746a1-f76f-40f6-a66b-79b6ecb1a914","bf159bdd-97d7-4a1d-86b3-3f2f5b8228a8","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0d2746a1\Report\TaskReport_bf159bdd"
"E:\FTP\_Acquisitions and Investor Relations\EMEA","https://emlpayments.sharepoint.com/sites/AIR-E","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:41 AM","5/31/2020 3:16:29 AM","0:00:48","0","1","0d2746a1-f76f-40f6-a66b-79b6ecb1a914","7bdf4945-2839-4702-9f33-dca638eacbf1","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0d2746a1\Report\TaskReport_7bdf4945"
"E:\FTP\_Acquisitions and Investor Relations\Global","https://emlpayments.sharepoint.com/sites/AIR-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:41 AM","5/31/2020 3:16:30 AM","0:00:49","0","1","0d2746a1-f76f-40f6-a66b-79b6ecb1a914","7aac8871-6179-4659-9ab6-82d5e5284d8a","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0d2746a1\Report\TaskReport_7aac8871"
"E:\FTP\_Acquisitions and Investor Relations\Americas","https://emlpayments.sharepoint.com/sites/AIR-U","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:41 AM","5/31/2020 3:16:33 AM","0:00:51","0","1","0d2746a1-f76f-40f6-a66b-79b6ecb1a914","b80c7867-05f5-46e9-ab94-4a1bd5a18a93","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0d2746a1\Report\TaskReport_b80c7867"
"E:\FTP\_Banks and Networks\Australia","https://emlpayments.sharepoint.com/sites/BN-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:41 AM","5/31/2020 3:16:29 AM","0:00:47","0","1","0d2746a1-f76f-40f6-a66b-79b6ecb1a914","567dadcd-544b-40c2-93a1-91010a646200","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0d2746a1\Report\TaskReport_567dadcd"
"E:\FTP\_Banks and Networks\EMEA","https://emlpayments.sharepoint.com/sites/BN-E","Completed","4","0","4","0","0","1","1","1","0","0","5/31/2020 3:15:41 AM","5/31/2020 3:18:57 AM","0:03:15","0","1","0d2746a1-f76f-40f6-a66b-79b6ecb1a914","4b9ee2a8-eb87-449a-a84c-11e7455f7b79","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0d2746a1\Report\TaskReport_4b9ee2a8"
