Source,Destination,Status,Total bytes,Total GB,Migrated bytes,Migrated GB,GB not migrated,Total scanned item,Total to be migrated,Migrated items,Items not migrated,Warning count,Start time,End time,Duration,GB/hour,Round number,Workflow ID,Task ID,Log Path
"T:\Account Management (Commercial and Operational)\Australia","https://emlpayments.sharepoint.com/sites/AM-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:39 PM","5/31/2020 6:04:10 PM","0:00:31","0","1","f7dafdcd-b228-4a29-8d53-580549621eee","6b095dd0-4710-4ae3-80fd-0f7df99d8230","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_6b095dd0"
"T:\Account Management (Commercial and Operational)\EMEA","https://emlpayments.sharepoint.com/sites/AM-E","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:41 PM","5/31/2020 6:04:20 PM","0:00:38","0","1","f7dafdcd-b228-4a29-8d53-580549621eee","ef8d274b-4db1-4ae7-bdc8-85365847cfae","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_ef8d274b"
"T:\Account Management (Commercial and Operational)\Global","https://emlpayments.sharepoint.com/sites/AM-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:41 PM","5/31/2020 6:04:09 PM","0:00:27","0","1","f7dafdcd-b228-4a29-8d53-580549621eee","8e807de2-1af5-40dc-8d07-6d99df1110ca","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_8e807de2"
"T:\Account Management (Commercial and Operational)\Americas","https://emlpayments.sharepoint.com/sites/AM-U","Completed","27282032176","25.41","27282032176","25.41","0","61235","61235","61235","0","0","5/31/2020 6:03:41 PM","5/31/2020 6:49:40 PM","0:45:58","33.16","1","f7dafdcd-b228-4a29-8d53-580549621eee","e6a2561b-983f-459b-8ac0-e02b3ab47762","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_e6a2561b"
"T:\Acquisitions and Investor Relations\Australia","https://emlpayments.sharepoint.com/sites/BN-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:41 PM","5/31/2020 6:04:11 PM","0:00:29","0","1","f7dafdcd-b228-4a29-8d53-580549621eee","5a5b16e7-e045-45cf-804c-ded894e2468b","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_5a5b16e7"
"T:\Acquisitions and Investor Relations\EMEA","https://emlpayments.sharepoint.com/sites/BN-E","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:41 PM","5/31/2020 6:04:37 PM","0:00:55","0","1","f7dafdcd-b228-4a29-8d53-580549621eee","e0322af8-f114-4c92-b576-caffd76d5889","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_e0322af8"
"T:\Acquisitions and Investor Relations\Global","https://emlpayments.sharepoint.com/sites/BN-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:41 PM","5/31/2020 6:04:39 PM","0:00:58","0","1","f7dafdcd-b228-4a29-8d53-580549621eee","3d950a7b-79f3-49e5-892f-337a1acdf0c0","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_3d950a7b"
"T:\Acquisitions and Investor Relations\Americas","https://emlpayments.sharepoint.com/sites/BN-U","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:41 PM","5/31/2020 6:04:39 PM","0:00:57","0","1","f7dafdcd-b228-4a29-8d53-580549621eee","aa3dfb6f-289e-4f44-b47d-97f4c4418888","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_aa3dfb6f"
"T:\Banks and Networks\Australia","https://emlpayments.sharepoint.com/sites/CP-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:41 PM","5/31/2020 6:04:45 PM","0:01:04","0","1","f7dafdcd-b228-4a29-8d53-580549621eee","a9a30063-39f6-4224-ade5-5cbb82c9476a","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_a9a30063"
"T:\Banks and Networks\EMEA","https://emlpayments.sharepoint.com/sites/CP-E","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:41 PM","5/31/2020 6:05:31 PM","0:01:49","0","1","f7dafdcd-b228-4a29-8d53-580549621eee","b3011dbb-f9df-4246-98f2-1eddfa1b05f8","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_b3011dbb"
"T:\Banks and Networks\Global","https://emlpayments.sharepoint.com/sites/CP-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:41 PM","5/31/2020 6:05:03 PM","0:01:21","0","1","f7dafdcd-b228-4a29-8d53-580549621eee","9d89641a-d587-4ffc-b3a7-2fa3dd1478eb","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_9d89641a"
"T:\Banks and Networks\Americas","https://emlpayments.sharepoint.com/sites/CP-U","Completed","10130338333","9.43","10130338333","9.43","0","13274","13274","13274","0","0","5/31/2020 6:03:41 PM","5/31/2020 6:33:50 PM","0:30:09","18.76","1","f7dafdcd-b228-4a29-8d53-580549621eee","d8fc7726-a044-49a6-aceb-4901250e856d","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_d8fc7726"
"T:\Card Production\Australia","https://emlpayments.sharepoint.com/sites/CP-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:41 PM","5/31/2020 6:05:14 PM","0:01:32","0","1","f7dafdcd-b228-4a29-8d53-580549621eee","82ea41fa-2c6d-46bb-9057-79e3dbcef916","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_82ea41fa"
"T:\Card Production\EMEA","https://emlpayments.sharepoint.com/sites/CP-E","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:41 PM","5/31/2020 6:06:10 PM","0:02:28","0","1","f7dafdcd-b228-4a29-8d53-580549621eee","9d25bc6e-ab34-4154-88b2-e1dc47be799d","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_9d25bc6e"
"T:\Card Production\Global","https://emlpayments.sharepoint.com/sites/CP-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:41 PM","5/31/2020 6:05:46 PM","0:02:05","0","1","f7dafdcd-b228-4a29-8d53-580549621eee","a697eb14-1809-42a6-864d-f8e5674bbcba","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_a697eb14"
"T:\Card Production\Americas","https://emlpayments.sharepoint.com/sites/CP-U","Completed","116267997303","108.28","116267997303","108.28","0","38580","38580","38580","0","0","5/31/2020 6:03:41 PM","5/31/2020 6:55:26 PM","0:51:44","125.54","1","f7dafdcd-b228-4a29-8d53-580549621eee","0bad832b-4cff-4961-af13-282b1c160690","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_f7dafdcd\Report\TaskReport_0bad832b"
