Source,Destination,Item name,Extension,Item size (bytes),Type,Status,Result category,Message,Error code,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name,Server error message
"D:\EMH_Data\OneDrive Folder Structure\_Project Management\Americas\U\Implementation Team Materials\Cardfront","https://emlpayments.sharepoint.com/sites/PM354-U/Shared Documents/U/Implementation Team Materials/Cardfront","Cardfront","","0","Folder","Failed","SERVER FAILURE","Errors or timeout for Server Processing the file:The folder already exists and cannot be replaced.","0x01710003","46dcef7f-5284-549b-8c6c-10f2c4135baf","46dcef7f-5284-549b-8c6c-10f2c4135baf","0","e6490d50-747d-486d-a33e-82b3ffd36468","1","8012563d-1166-47c4-a27c-b2ac030d4309","SF-OFF-FS-01","A file or folder with the name https://emlpayments.sharepoint.com/sites/PM354-U/Shared Documents/U/Implementation Team Materials/Cardfront already exists."
"D:\EMH_Data\OneDrive Folder Structure\_Sales\Australia\A\Board packs\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams171-A/Shared Documents/A/Board packs/Thumbs.db","Thumbs.db",".db","28672","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","88109650-5f1e-5ebd-a0ef-edc8c87d34d9","88109650-5f1e-5ebd-a0ef-edc8c87d34d9","N/A","N/A","1","11092b5a-325e-460d-9029-c6f98a9b49e2","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Sales\Australia\A\Offsite\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams171-A/Shared Documents/A/Offsite/Thumbs.db","Thumbs.db",".db","13824","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","5cdee5ed-80e8-5724-890c-f45501315a45","5cdee5ed-80e8-5724-890c-f45501315a45","N/A","N/A","1","11092b5a-325e-460d-9029-c6f98a9b49e2","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Sales\Australia\A\Presentations and Videos\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams171-A/Shared Documents/A/Presentations and Videos/Thumbs.db","Thumbs.db",".db","12288","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","08763076-6b73-5053-a319-44cee73d0234","08763076-6b73-5053-a319-44cee73d0234","N/A","N/A","1","11092b5a-325e-460d-9029-c6f98a9b49e2","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Sales\Australia\A\The Pays\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams171-A/Shared Documents/A/The Pays/Thumbs.db","Thumbs.db",".db","12288","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","41f8bb2d-08e2-5b8f-a1ba-a3dc3c2b1fd6","41f8bb2d-08e2-5b8f-a1ba-a3dc3c2b1fd6","N/A","N/A","1","11092b5a-325e-460d-9029-c6f98a9b49e2","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Sales\Australia\A\Weekly Highlights\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams171-A/Shared Documents/A/Weekly Highlights/Thumbs.db","Thumbs.db",".db","286720","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","fb700468-3752-5731-a997-fc9b87891d66","fb700468-3752-5731-a997-fc9b87891d66","N/A","N/A","1","11092b5a-325e-460d-9029-c6f98a9b49e2","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Sales\Australia\A\Bus Dev opportunities\NSW MoH\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams171-A/Shared Documents/A/Bus Dev opportunities/NSW MoH/Thumbs.db","Thumbs.db",".db","5632","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","18ef4a89-c52b-5aae-8d77-e043611df2a8","18ef4a89-c52b-5aae-8d77-e043611df2a8","N/A","N/A","1","11092b5a-325e-460d-9029-c6f98a9b49e2","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Sales\Australia\A\Corporate Entertainment\PPJ015906 - EML AUS - Invite - Gabba Test_FA.png\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams171-A/Shared Documents/A/Corporate Entertainment/PPJ015906 - EML AUS - Invite - Gabba Test_FA.png/Thumbs.db","Thumbs.db",".db","20480","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","337e908a-d34c-54e0-9390-6c5dd91d237a","337e908a-d34c-54e0-9390-6c5dd91d237a","N/A","N/A","1","11092b5a-325e-460d-9029-c6f98a9b49e2","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Sales\Australia\A\Weekly Highlights\10.19\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams171-A/Shared Documents/A/Weekly Highlights/10.19/Thumbs.db","Thumbs.db",".db","27136","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","6f00c2fd-38c8-5147-b4e3-835f243d023b","6f00c2fd-38c8-5147-b4e3-835f243d023b","N/A","N/A","1","11092b5a-325e-460d-9029-c6f98a9b49e2","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Sales\Australia\A\Weekly Highlights\11.19\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams171-A/Shared Documents/A/Weekly Highlights/11.19/Thumbs.db","Thumbs.db",".db","27648","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","b6851546-d704-5a0b-8f4e-ab905f402cb6","b6851546-d704-5a0b-8f4e-ab905f402cb6","N/A","N/A","1","11092b5a-325e-460d-9029-c6f98a9b49e2","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Sales\Australia\A\Weekly Highlights\12.19\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams171-A/Shared Documents/A/Weekly Highlights/12.19/Thumbs.db","Thumbs.db",".db","15360","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","249f95f2-4610-506a-b694-a1cb4b68e4b8","249f95f2-4610-506a-b694-a1cb4b68e4b8","N/A","N/A","1","11092b5a-325e-460d-9029-c6f98a9b49e2","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Sales\Australia\A\Budget Projections\Budgets\FY21\Commercial team\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams171-A/Shared Documents/A/Budget Projections/Budgets/FY21/Commercial team/Thumbs.db","Thumbs.db",".db","13824","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","c36e7432-17ca-58e3-80fd-47d9b0f6aed3","c36e7432-17ca-58e3-80fd-47d9b0f6aed3","N/A","N/A","1","11092b5a-325e-460d-9029-c6f98a9b49e2","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Sales\Australia\A\Budget Projections\Budgets\FY21\Other ideas\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams171-A/Shared Documents/A/Budget Projections/Budgets/FY21/Other ideas/Thumbs.db","Thumbs.db",".db","17920","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","94439cf5-beb3-5e96-baee-3b2c5927114d","94439cf5-beb3-5e96-baee-3b2c5927114d","N/A","N/A","1","11092b5a-325e-460d-9029-c6f98a9b49e2","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Technology\Infrastructure\Australia\Operation\Incident Response","/Operation/Incident Response","Incident Response","","0","Folder","Failed","SCAN FAILURE","Scan File Failure:Unauthorized access to source folder","0x01110002","93ee4fdd-80ce-513d-b73b-bd396ebefe10","93ee4fdd-80ce-513d-b73b-bd396ebefe10","N/A","N/A","1","53e8ecae-629d-4a72-bec6-3911259b293c","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Technology\Infrastructure\Australia\_Restricted\Governance\Thumbs.db","https://emlpayments.sharepoint.com/sites/TI-A/Shared Documents/_Restricted/Governance/Thumbs.db","Thumbs.db",".db","13312","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","244deb8c-ddb0-55ef-beef-696b3e1afb7c","244deb8c-ddb0-55ef-beef-696b3e1afb7c","N/A","N/A","1","53e8ecae-629d-4a72-bec6-3911259b293c","SF-OFF-FS-01","N/A"
