Source,Destination,Item name,Extension,Item size (bytes),Type,Status,Result category,Message,Error code,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name,Server error message
"E:\FTP\_Operations\EMEA\Partners and Suppliers\Stripe","https://emlpayments.sharepoint.com/sites/msteams663-E/Shared Documents/Partners and Suppliers/Stripe","Stripe","","0","Folder","Failed","SERVER FAILURE","Errors or timeout for Server Processing the file:The folder already exists and cannot be replaced.","0x01710003","06ec09a6-4deb-54b6-8565-f10e478dd6bc","06ec09a6-4deb-54b6-8565-f10e478dd6bc","0","7e3df791-7ae9-410a-9be5-a8adc7392dab","1","9a4e3ed0-91c8-484b-b62a-afda3901d210","devblue","A file or folder with the name https://emlpayments.sharepoint.com/sites/msteams663-E/Shared Documents/Partners and Suppliers/VoIP Unltimited already exists."
"E:\FTP\_Operations\EMEA\Partners and Suppliers\VoIP Unltimited","https://emlpayments.sharepoint.com/sites/msteams663-E/Shared Documents/Partners and Suppliers/VoIP Unltimited","VoIP Unltimited","","0","Folder","Failed","SERVER FAILURE","Errors or timeout for Server Processing the file:The folder already exists and cannot be replaced.","0x01710003","24334e0e-057f-5f7d-84d5-51d0d7313c07","24334e0e-057f-5f7d-84d5-51d0d7313c07","0","7e3df791-7ae9-410a-9be5-a8adc7392dab","1","9a4e3ed0-91c8-484b-b62a-afda3901d210","devblue","A file or folder with the name https://emlpayments.sharepoint.com/sites/msteams663-E/Shared Documents/Partners and Suppliers/VoIP Unltimited already exists."
"E:\FTP\_Project Management\EMEA\Newcastle\Projects\FEC migration\Deployment night\Back out\ template Italian  Release postponed.msg","https://emlpayments.sharepoint.com/sites/PM354-E/Shared Documents/Newcastle/Projects/FEC migration/Deployment night/Back out/ template Italian  Release postponed.msg"," template Italian  Release postponed.msg",".msg","19456","File","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","4c308834-f1f3-5ce3-bf6e-44b6c9cfa848","4c308834-f1f3-5ce3-bf6e-44b6c9cfa848","N/A","N/A","1","30435755-59f2-4fac-8c1b-f8dae1bbec81","devblue","N/A"
"E:\FTP\_Project Management\EMEA\Newcastle\Projects\FEC migration\Deployment night\Back out\ template Pavers  Release postponed.msg","https://emlpayments.sharepoint.com/sites/PM354-E/Shared Documents/Newcastle/Projects/FEC migration/Deployment night/Back out/ template Pavers  Release postponed.msg"," template Pavers  Release postponed.msg",".msg","18944","File","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","ed492ec3-c928-54ea-8b11-e1556dca336c","ed492ec3-c928-54ea-8b11-e1556dca336c","N/A","N/A","1","30435755-59f2-4fac-8c1b-f8dae1bbec81","devblue","N/A"
"E:\FTP\_Project Management\EMEA\Newcastle\Projects\FEC migration\Deployment night\Back out\ template UK  Release postponed.msg","https://emlpayments.sharepoint.com/sites/PM354-E/Shared Documents/Newcastle/Projects/FEC migration/Deployment night/Back out/ template UK  Release postponed.msg"," template UK  Release postponed.msg",".msg","18944","File","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","177a04d8-f8aa-5b8f-ae4c-025d73a17326","177a04d8-f8aa-5b8f-ae4c-025d73a17326","N/A","N/A","1","30435755-59f2-4fac-8c1b-f8dae1bbec81","devblue","N/A"
"E:\FTP\_Technology\Development\EMEA\E\Newcastle\SQL Traces\Trace_multi.trc","https://emlpayments.sharepoint.com/sites/TD-E/Shared Documents/E/Newcastle/SQL Traces/Trace_multi.trc","Trace_multi.trc",".trc","457539584","File","Failed","PACK FAILURE","Packaging Failure:File is locked","0x0141000F","53a22ab5-13ab-510a-9dd8-96f88b276fc5","53a22ab5-13ab-510a-9dd8-96f88b276fc5","N/A","N/A","1","5e0dd2d8-a4f8-41f5-af36-7eb003886258","devblue","N/A"
"E:\FTP\_Technology\Infrastructure\EMEA\E\Newcastle\IT Software\Kaspersky Endpoint Security for Windows (11.1.0) (11.1.0.15919).exe","https://emlpayments.sharepoint.com/sites/TI-E/Shared Documents/E/Newcastle/IT Software/Kaspersky Endpoint Security for Windows (11.1.0) (11.1.0.15919).exe","Kaspersky Endpoint Security for Windows (11.1.0) (11.1.0.15919).exe",".exe","189349888","File","Failed","PACK FAILURE","Packaging Failure:File is locked","0x0141000F","516bb9bd-a972-58dd-a2a0-08b71d8b6dba","516bb9bd-a972-58dd-a2a0-08b71d8b6dba","N/A","N/A","1","a1bd3e23-5571-4644-84dd-de68db712ec6","devblue","N/A"
"E:\FTP\_Technology\Infrastructure\EMEA\E\Newcastle\IT Software\SDESetup.exe","https://emlpayments.sharepoint.com/sites/TI-E/Shared Documents/E/Newcastle/IT Software/SDESetup.exe","SDESetup.exe",".exe","196427776","File","Failed","PACK FAILURE","Packaging Failure:File is locked","0x0141000F","ff358dd6-13b7-5c28-b5a2-44721ad2b42f","ff358dd6-13b7-5c28-b5a2-44721ad2b42f","N/A","N/A","1","a1bd3e23-5571-4644-84dd-de68db712ec6","devblue","N/A"
"E:\FTP\_Technology\Infrastructure\EMEA\E\Newcastle\Software\en_sharepoint_server_2010_with_service_pack_1_x64_dvd_759773.iso","https://emlpayments.sharepoint.com/sites/TI-E/Shared Documents/E/Newcastle/Software/en_sharepoint_server_2010_with_service_pack_1_x64_dvd_759773.iso","en_sharepoint_server_2010_with_service_pack_1_x64_dvd_759773.iso",".iso","269795328","File","Failed","PACK FAILURE","Packaging Failure:File is locked","0x0141000F","2bb30d7e-440f-5be4-9628-2d79d6490861","2bb30d7e-440f-5be4-9628-2d79d6490861","N/A","N/A","1","a1bd3e23-5571-4644-84dd-de68db712ec6","devblue","N/A"
"E:\FTP\_Technology\Infrastructure\EMEA\E\Newcastle\Software\MSR.rar","https://emlpayments.sharepoint.com/sites/TI-E/Shared Documents/E/Newcastle/Software/MSR.rar","MSR.rar",".rar","0","File","Failed","PACK FAILURE","Packaging Failure:File is locked","0x0141000F","249ca0c5-c523-55d3-b8e9-4c28bcc6654e","249ca0c5-c523-55d3-b8e9-4c28bcc6654e","N/A","N/A","1","a1bd3e23-5571-4644-84dd-de68db712ec6","devblue","N/A"
