Source,Destination,Item name,Extension,Item size (bytes),Type,Status,Result category,Message,Error code,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name,Server error message
"T:\Legal\Americas\U","/U","U","","0","Folder","Failed","SCAN FAILURE","Scan File Failure:Unauthorized access to source folder","0x01110002","959f2b5d-2d3f-59aa-a3c3-6ffb3d5b2774","959f2b5d-2d3f-59aa-a3c3-6ffb3d5b2774","N/A","N/A","1","00079c36-cbf2-4ec8-bb51-12616ac3e755","FS02","N/A"
"T:\Marketing\Americas\U\Marketing 2019\Projects\In Process\Demos\ CardFront Concept (EXP).xd","https://emlpayments.sharepoint.com/sites/msteams252-U/Shared Documents/U/Marketing 2019/Projects/In Process/Demos/ CardFront Concept (EXP).xd"," CardFront Concept (EXP).xd",".xd","41269382","File","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","c017a1ff-1171-558c-b5f2-794a43ac395d","c017a1ff-1171-558c-b5f2-794a43ac395d","N/A","N/A","1","b66f1285-e8e3-45be-9be0-b7e514a31171","FS02","N/A"
"T:\Marketing\Americas\U\Marketing 2015\Graphic Designs Old\Storefinanicial Designs\Store Financial folder 2013\fan chart infographics\ fan.pdf","https://emlpayments.sharepoint.com/sites/msteams252-U/Shared Documents/U/Marketing 2015/Graphic Designs Old/Storefinanicial Designs/Store Financial folder 2013/fan chart infographics/ fan.pdf"," fan.pdf",".pdf","247112","File","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","b2816054-d38c-57c0-82a8-df859b3b3375","b2816054-d38c-57c0-82a8-df859b3b3375","N/A","N/A","1","b66f1285-e8e3-45be-9be0-b7e514a31171","FS02","N/A"
"T:\Marketing\Americas\U\Marketing 2015\Graphic Designs Old\Storefinanicial Designs\Storefinancial 2014\AT&T Wire Frames erecycling\new updated AT&T Screens\ dp into att account.jpg","https://emlpayments.sharepoint.com/sites/msteams252-U/Shared Documents/U/Marketing 2015/Graphic Designs Old/Storefinanicial Designs/Storefinancial 2014/AT&T Wire Frames erecycling/new updated AT&T Screens/ dp into att account.jpg"," dp into att account.jpg",".jpg","68630","File","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","ba675f07-8fd9-5693-b478-47bff843faff","ba675f07-8fd9-5693-b478-47bff843faff","N/A","N/A","1","b66f1285-e8e3-45be-9be0-b7e514a31171","FS02","N/A"
"T:\Marketing\Americas\U\Marketing 2015\Graphic Designs Old\Storefinanicial Designs\Storefinancial 2014\WestJet\West jet cards for print\ Fee Free Card Back_final.pdf","https://emlpayments.sharepoint.com/sites/msteams252-U/Shared Documents/U/Marketing 2015/Graphic Designs Old/Storefinanicial Designs/Storefinancial 2014/WestJet/West jet cards for print/ Fee Free Card Back_final.pdf"," Fee Free Card Back_final.pdf",".pdf","119090","File","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","51be5775-ca57-5976-aa20-076d588fba89","51be5775-ca57-5976-aa20-076d588fba89","N/A","N/A","1","b66f1285-e8e3-45be-9be0-b7e514a31171","FS02","N/A"
"T:\Marketing\Americas\U\Marketing 2015\Graphic Designs Old\Storefinanicial Designs\Store Financial folder 2013\Store Financial 2013\Cards\TPA priceless cards\ .pdf","https://emlpayments.sharepoint.com/sites/msteams252-U/Shared Documents/U/Marketing 2015/Graphic Designs Old/Storefinanicial Designs/Store Financial folder 2013/Store Financial 2013/Cards/TPA priceless cards/ .pdf"," .pdf",".pdf","5051607","File","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","ba32efda-73b6-5647-9e4a-71f577110a58","ba32efda-73b6-5647-9e4a-71f577110a58","N/A","N/A","1","b66f1285-e8e3-45be-9be0-b7e514a31171","FS02","N/A"
"T:\Marketing\Americas\U\Marketing 2015\Graphic Designs Old\Storefinanicial Designs\Storefinancial 2014\fan experience folder\Predators\Nashville Predators\  Nashville Predators.jpg","https://emlpayments.sharepoint.com/sites/msteams252-U/Shared Documents/U/Marketing 2015/Graphic Designs Old/Storefinanicial Designs/Storefinancial 2014/fan experience folder/Predators/Nashville Predators/  Nashville Predators.jpg","  Nashville Predators.jpg",".jpg","270102","File","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","1acd5bde-de02-55e8-b7cf-10c1fefec2b7","1acd5bde-de02-55e8-b7cf-10c1fefec2b7","N/A","N/A","1","b66f1285-e8e3-45be-9be0-b7e514a31171","FS02","N/A"
"T:\Marketing\Americas\U\Marketing 2015\Graphic Designs Old\Storefinanicial Designs\Storefinancial 2014\fan experience folder\Predators\Nashville Predators\  Nashville Predators.psd","https://emlpayments.sharepoint.com/sites/msteams252-U/Shared Documents/U/Marketing 2015/Graphic Designs Old/Storefinanicial Designs/Storefinancial 2014/fan experience folder/Predators/Nashville Predators/  Nashville Predators.psd","  Nashville Predators.psd",".psd","12563820","File","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","66d4c7db-d9e6-5380-9363-b3fcc97d974a","66d4c7db-d9e6-5380-9363-b3fcc97d974a","N/A","N/A","1","b66f1285-e8e3-45be-9be0-b7e514a31171","FS02","N/A"
"T:\Marketing\Americas\U\Marketing 2015\Graphic Designs Old\Storefinanicial Designs\Store Financial folder 2013\Store Financial 2013\Cards\Twins_Card Art\ twins Card Art","https://emlpayments.sharepoint.com/sites/msteams252-U/Shared Documents/U/Marketing 2015/Graphic Designs Old/Storefinanicial Designs/Store Financial folder 2013/Store Financial 2013/Cards/Twins_Card Art/ twins Card Art"," twins Card Art","","0","Folder","Failed","SCAN FAILURE","Scan File Failure:Path contains invalid characters. Valid path doesn't start or end with space. Other invalid characters are <, ?, >, *, |, "", :, \, /","0x0111000C","6ca4a450-747a-5d0c-be8d-4a456e3cb5a3","6ca4a450-747a-5d0c-be8d-4a456e3cb5a3","N/A","N/A","1","b66f1285-e8e3-45be-9be0-b7e514a31171","FS02","N/A"
"T:\Marketing\Americas\U\Marketing 2015\Graphic Designs Old\Storefinanicial Designs\Store Financial folder 2013\Store Financial 2013\Cards\Twins_Card Art\ twins Card Art\.DS_Store","https://emlpayments.sharepoint.com/sites/msteams252-U/Shared Documents/U/Marketing 2015/Graphic Designs Old/Storefinanicial Designs/Store Financial folder 2013/Store Financial 2013/Cards/Twins_Card Art/ twins Card Art/.DS_Store",".DS_Store",".DS_Store","12292","File","Failed","SCAN FAILURE","Scan File Failure:The parent folder was not migrated","0x0111000F","4f82818a-7bac-50fd-9151-bfbc71eea69c","4f82818a-7bac-50fd-9151-bfbc71eea69c","N/A","N/A","1","b66f1285-e8e3-45be-9be0-b7e514a31171","FS02","N/A"
